Parcellation Index,Area Name,Area Description,Newly Described,Results Sections,Other Names,Key Studies
1,V1,Primary Visual Cortex,No,"1,2","17, hOC1, OC, BA17","Amunts et al 2000, Fischl et al 2008, Abdollahi et al 2014"
2,MST,Medial Superior Temporal Area,No,"5,15","MSTv, hOC5, hOC5v","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2007, Fischl et al 2008"
3,V6,Sixth Visual Area,No,"2,3,18",112,"Pitzalis et al 2006, Pitzalis et al 2013, Sereno et al 2012, Nieuwenhuys et al 2014"
4,V2,Second Visual Area,No,"1,2","18, hOC2, OB, BA18","Amunts et al 2000, Fischl et al 2008, Schira et al 2009, Abdollahi et al 2014, Wang et al 2015, Wandell and Winawer 2011"
5,V3,Third Visual Area,No,2,"V3d, V3v, VP, hOC3d, hOC3v","Abdollahi et al 2014, Rottschy et al 2007, Schira et al 2009, Kujovic et al 2012, Wang et al 2015, Wandell and Winawer 2011"
6,V4,Fourth Visual Area,No,"2,3,4,5","V4d, V4v, hV4, hOC4v, hOC4lp, LO1","Hansen et al 2007, Abdollahi et al 2014, Rottschy et al 2007, Malikovic et al 2015"
7,V8,Eighth Visual Area,No,"2,4,5",VO1,"Hadjikhani et al 1998, Abdollahi et al 2014"
8,4,Primary Motor Cortex,No,"6,7,8,9","BA4, 4a, 4p, M1, PMC, F1","Fischl et al 2008, Geyer et al 1996"
9,3b,Primary Sensory Cortex,No,"6,7,9","S1, 3","Fischl et al 2008, Geyer et al 1999, Geyer et al 2000"
10,FEF,Frontal Eye Fields,No,"6,8,22",,"Glasser and Van Essen 2011, Amiez and Petrides 2009"
11,PEF,Premotor Eye Field,No,"6,8,21,22",6v2,"Amiez and Petrides 2009, Amunts et al 2010"
12,55b,Area 55b,No,"6,8,22",,Hopf 1956
13,V3A,Area V3A,No,"2,3","V3D, hOC4d","Abdollahi et al 2014, Swisher et al 2007, Kujovic et al 2012, Wandell and Winawer 2011, Larsson and Heeger 2006, Tootell et al 1997"
14,RSC,RetroSplenial Complex,No,"13,18","29,30","Glasser and Van Essen 2011, Vogt 2009, Palomero-Gallagher et al 2009"
15,POS2,Parieto-Occipital Sulcus Area 2,Yes*,"16,18",,Glasser and Van Essen 2011
16,V7,Seventh Visual Area,No,3,IPS0,"Abdollahi et al 2014, Swisher et al 2007, Larsson and Heeger 2006, Tootell et al 1998, Hagler et al 2007, Wang et al 2015"
17,IPS1,IntraParietal Sulcus Area 1,No,"3,16,17",,"Swisher et al 2007, Wang et al 2015, Hagler et al 2007"
18,FFC,Fusiform Face Complex,No,"4,5,14","FFA, FG2","Glasser and Van Essen 2011, Kanwisher and Yovel 2006, Caspers et al 2013, Weiner et al 2014"
19,V3B,Area V3B,No,"3,5,17",V3C,"Abdollahi et al 2014, Larsson and Heeger 2006, Swisher et al 2007, Wandell and Winawer 2011, Smith et al 1998"
20,LO1,Area Lateral Occipital 1,No,"2,5","LO2, hOC4la","Abdollahi et al 2014, Hansen et al 2007, Malikovic et al 2015, Larsson and Heeger 2006"
21,LO2,Area Lateral Occipital 2,No,"2,4,5","LO1, hOC4la","Abdollahi et al 2014, Hansen et al 2007, Malikovic et al 2015, Larsson and Heeger 2006"
22,PIT,Posterior InferoTemporal Complex,No,"2,4,5","phPITv, phPITd, OFA, hOC4la","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2015, Kanwisher and Yovel 2006, Tsao et al 2008"
23,MT,Middle Temporal Area,No,"5,15","hOC5, hOC5d","Abdollahi et al 2014, Kolster et al 2010, Malikovic et al 2007, Fischl et al 2008"
24,A1,Primary Auditory Cortex,No,10,"Core, R1, TC, TE1.0, TE1.1, 41","Glasser and Van Essen 2011, Moerel et al 2014, von Economo and Koskinas 1925, Triarhou 2007, Morosan et al 2001"
25,PSL,PeriSylvian Language Area,Yes,"9,10,11,15,17",,
26,SFL,Superior Frontal Language Area,Yes,"7,19,22",,
27,PCV,PreCuneus Visual Area,No,"7,16,18",PrCu,Sereno et al 2012
28,STV,Superior Temporal Visual Area,Yes,"11,15,17",,
29,7Pm,Medial Area 7P,Yes,"16,18",7P,"Scheperjans et al 2008a, Scheperjans et al 2008b"
30,7m,Area 7m,No,"16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
31,POS1,Parieto-Occipital Sulcus Area 1,Yes*,18,Retrosplenial Cortex,Glasser and Van Essen 2011
32,23d,Area 23d,No,"18,19",,"Vogt 2009, Palomero-Gallagher et al 2009"
33,v23ab,Area ventral 23 a+b,No,18,"23a, 23b, v23","Vogt 2009, Palomero-Gallagher et al 2009"
34,d23ab,Area dorsal 23 a+b,No,18,"23a, 23b, d23","Vogt 2009, Palomero-Gallagher et al 2009"
35,31pv,Area 31p ventral,Yes*,18,"31, 31d, 31v","Vogt 2009, Palomero-Gallagher et al 2009"
36,5m,Area 5m,No,"6,7",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
37,5mv,Area 5m ventral,Yes*,"7,16,18",5ci,"Scheperjans et al 2008a, Scheperjans et al 2008b"
38,23c,Area 23c,No,"7,18,19",,"Vogt 2009, Palomero-Gallagher et al 2009"
39,5L,Area 5L,No,"6,7,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
40,24dd,Dorsal Area 24d,No,"6,7,18",24d,"Palomero-Gallagher et al 2009, Vogt and Vogt 2003"
41,24dv,Ventral Area 24d,No,"7,19",24d,"Palomero-Gallagher et al 2009, Vogt and Vogt 2003"
42,7AL,Lateral Area 7A,Yes*,"6,7,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
43,SCEF,Supplementary and Cingulate Eye Field,Yes*,"7,19,22","SEF, CEF, 6, SMA, SMAr",Amiez and Petrides 2009
44,6ma, Area 6m anterior,Yes*,"7,8,22","SMAr, 6, SMA","Fischl et al 2008, Vorobiev et al 1998, Geyer 2004"
45,7Am,Medial Area 7A,Yes*,"7,16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
46,7Pl,Lateral Area 7P,Yes*,"16,18",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
47,7PC,Area 7PC,No,"6,16",,"Scheperjans et al 2008a, Scheperjans et al 2008b"
48,LIPv, Area Lateral IntraParietal ventral  ,Yes*,16,hIP3,"Van Essen et al 2012a, Scheperjans et al 2008a, Scheperjans et al 2008b"
49,VIP,Ventral IntraParietal Complex,Yes*,16,,Van Essen et al 2012a
50,MIP,Medial IntraParietal Area,Yes*,"3,16,17",,Van Essen et al 2012a
51,1,Area 1,No,"6,7,9,17",,"Fischl et al 2008, Geyer et al 1999, Geyer et al 2000"
52,2,Area 2,No,"6,7,16,17",,"Fischl et al 2008, Grefkes et al 2000"
53,3a,Area 3a,No,"6,7,9,17",,"Fischl et al 2008, Geyer et al 1999, Geyer et al 2000"
54,6d,Dorsal area 6,Yes*,"6,7,8","6, 6aα","Fischl et al 2008, Geyer 2004, Geyer et al 2000"
55,6mp,Area 6mp,Yes*,"6,7,8","SMAc, 6, SMA","Fischl et al 2008, Vorobiev et al 1998, Geyer 2004"
56,6v,Ventral Area 6,No,"6,8,9","6, 6v1","Fischl et al 2008, Amunts et al 2010, Geyer 2004"
57,p24pr,Area Posterior 24 prime ,No,"7,18,19",p24',"Vogt 2009"
58,33pr,Area 33 prime,No,"18,19","33', 16","Vogt 2009, Nieuwenhuys et al 2014"
59,a24pr,Anterior 24 prime,No,19,a24',"Vogt 2009"
60,p32pr,Area p32 prime,Yes*,"7,19",32',"Vogt 2009"
61,a24,Area a24,Yes*,19,"24, s24","Vogt 2009, Palomero-Gallagher et al 2015"
62,d32,Area dorsal 32,No,19,32,"Vogt 2009"
63,8BM,Area 8BM,Yes*,"7,19,22",8B,Petredes and Pandya 1999
64,p32,Area p32,No,"19,20","32ac, 32","Van Essen et al 2012b, Ongur et al 2003, Vogt 2009, Palomero-Gallagher et al 2009"
65,10r,Area 10r,Yes*,"19,20",,"Van Essen et al 2012b, Ongur et al 2003"
66,47m,Area 47m,No,"20,21",,"Van Essen et al 2012b, Ongur et al 2003, Glasser and Van Essen 2011"
67,8Av,Area 8Av,Yes*,"8,22",,Petredes and Pandya 1999
68,8Ad,Area 8Ad,Yes*,22,,Petredes and Pandya 1999
69,9m,Area 9 Middle,Yes*,"19,20,22",9,Petredes and Pandya 1999
70,8BL,Area 8B Lateral,Yes*,"19,22",8B,Petredes and Pandya 1999
71,9p,Area 9 Posterior,Yes*,"19,22",9,Petredes and Pandya 1999
72,10d,Area 10d,Yes*,"19,20,22","10, Fp1, Fp2","Petredes and Pandya 1999, Bludau et al 2014"
73,8C,Area 8C,Yes*,"8,21,22",8Av,Petredes and Pandya 1999
74,44,Area 44,No,"8,12,21","44d, 44v","Fischl et al 2008, Amunts et al 1999, Amunts et al 2010"
75,45,Area 45,No,"12,21","45a, 45p","Fischl et al 2008, Amunts et al 1999, Amunts et al 2010"
76,47l,Area 47l (47 lateral),No,"12,20,21",,"Van Essen et al 2012b, Ongur et al 2003"
77,a47r,Area anterior 47r,Yes*,"20,21,22",47r,"Van Essen et al 2012b, Ongur et al 2003"
78,6r,Rostral Area 6,No,"8,9,12,21",,Amunts et al 2010
79,IFJa,Area IFJa,Yes,"8,21,22",,
80,IFJp,Area IFJp,Yes,"8,21,22",,
81,IFSp,Area IFSp,Yes,"21,22",,
82,IFSa,Area IFSa,Yes,"21,22",,
83,p9-46v,Area posterior  9-46v,Yes*,"21,22",9-46v,Petredes and Pandya 1999
84,46,Area 46,No,"21,22",,"Petredes and Pandya 1999, Rajkowska and Goldman-Rakic 1995a, Rajkowska and Goldman-Rakic 1995b"
85,a9-46v,Area anterior  9-46v,Yes*,"20,21,22",9-46v,Petredes and Pandya 1999
86,9-46d,Area 9-46d,No,"20,22",,Petredes and Pandya 1999
87,9a,Area 9 anterior,Yes*,"19,20,22",9,Petredes and Pandya 1999
88,10v,Area 10v,Yes,"19,20","10, Fp2",Bludau et al 2014
89,a10p,Area anterior 10p ,Yes*,"20,22","10p, 10, Fp1","Van Essen et al 2012b, Ongur et al 2003, Bludau et al 2014"
90,10pp,Polar 10p,Yes*,"19,20","10p, 10, Fp1","Van Essen et al 2012b, Ongur et al 2003, Bludau et al 2014"
91,11l,Area 11l,No,20,Fo3,"Van Essen et al 2012b, Ongur et al 2003, Henssen et al 2016"
92,13l,Area 13l,No,20,Fo3,"Van Essen et al 2012b, Ongur et al 2003, Henssen et al 2016"
93,OFC,Orbital Frontal Complex,Yes*,"19,20","11m, 13b, 13m, 14r, Fo1","Van Essen et al 2012b, Ongur et al 2003, Henssen et al 2016"
94,47s,Area 47s,No,"12,20",,"Van Essen et al 2012b, Ongur et al 2003"
95,LIPd,Area Lateral IntraParietal dorsal,Yes*,"16,17",,Van Essen et al 2012a
96,6a, Area 6 anterior,Yes,"7,8,22","6, 6aβ","Fischl et al 2008, Geyer 2004, Geyer et al 2000"
97,i6-8,Inferior 6-8 Transitional Area,Yes*,"8,22",FC(B),"von Economo and Koskinas 1925, Triarhou 2007"
98,s6-8,Superior 6-8 Transitional Area,Yes*,"7,8,22",FC(B),"von Economo and Koskinas 1925, Triarhou 2007"
99,43,Area 43,No,"6,8,9,12",41,"Brodmann 1909, Brodmann 2007, Nieuwenhuys et al 2014"
100,OP4,Area OP4/PV,No,"6,9,17",68,"Eickhoff et al 2006a, Eickhoff et al 2006b, Nieuwenhuys et al 2014"
101,OP1,Area OP1/SII,No,"9,10",,"Eickhoff et al 2006a, Eickhoff et al 2006b"
102,OP2-3,Area OP2-3/VS,Yes*,"9,10,12","OP2,OP3","Eickhoff et al 2006a, Eickhoff et al 2006b"
103,52,Area 52,No,"10,12",IBT,"Brodmann 1909, Brodmann 2007, von Economo and Koskinas 1925, Triarhou 2007"
104,RI,RetroInsular Cortex,No,"9,10,12,15","reI, reIt, RetroInsular, Belt, TD","Glasser and Van Essen 2011, Pandya and Sanides 1973, Kurth et al 2009,von Economo and Koskinas 1925, Triarhou 2007"
105,PFcm,Area PFcm,No,"9,10,15,17",,"Caspers et al 2006, Caspers et al 2008"
106,PoI2,Posterior Insular Area 2,Yes*,12,"Id1, Id2, Id3","Kurth et al 2009, Morel et al 2013"
107,TA2,Area TA2,No,"10,11,12",TE1.2,"von Economo and Koskinas 1925, Triarhou 2007, Morosan et al 2001"
108,FOP4,Frontal OPercular Area 4,Yes,"9,12,21",,
109,MI,Middle Insular Area,Yes*,12,Ial,"Van Essen et al 2012b, Ongur et al 2003"
110,Pir,Pirform Cortex,No,"12,14,20",Poc,"Glasser and Van Essen 2011, Ding et al 2009, Morel et al 2013"
111,AVI,Anterior Ventral Insular Area,Yes*,"12,20,21",Iai,"Van Essen et al 2012b, Ongur et al 2003"
112,AAIC,Anterior Agranular Insula Complex,Yes*,"12,20","Iai, Ial","Van Essen et al 2012b, Ongur et al 2003"
113,FOP1,Frontal OPercular Area 1,Yes,"8,9,12",,
114,FOP3,Frontal OPercular Area 3,Yes,12,,
115,FOP2,Frontal OPercular Area 2,Yes,"9,12",,
116,PFt,Area PFt,No,"6,16,17",,"Caspers et al 2006, Caspers et al 2008"
117,AIP,Anterior IntraParietal Area,Yes*,"6,16,17",,Van Essen et al 2012a
118,EC,Entorhinal Cortex,No,13,28,Fischl et al 2009
119,PreS,PreSubiculum,No,"2,13,18","Sub, Subicular","Glasser and Van Essen 2011, Amunts et al 2005"
120,H,Hippocampus,No,13,,
121,ProS,ProStriate Area,No,"1,2,13,18",,"Glasser and Van Essen 2011, Vogt et al 2001, Sanides and Vitzthum 1965, Sanides 1970"
122,PeEc,Perirhinal Ectorhinal Cortex,Yes*,"13,14","ATFP, AFP1, Ectorhinal, Perirhinal, 35, 36","Augustinack et al 2013, Ding et al 2009, Ding and Van Hoesen 2010, Rajimehr et al 2009, Tsao et al 2008"
123,STGa,Area STGa,Yes,"11,12,14",,
124,PBelt,ParaBelt Complex,Yes*,"10,11","ParaBelt, TA1","Moerel et al 2014, von Economo and Koskinas 1925, Triarhou 2007"
125,A5,Auditory 5 Complex,Yes,"11,15",,
126,PHA1,ParaHippocampal Area 1,Yes,"2,4,13",,
127,PHA3,ParaHippocampal Area 3,Yes,"4,13,14",,
128,STSda,Area STSd anterior ,Yes,"11,14",,
129,STSdp,Area STSd posterior ,Yes,"11,15",,
130,STSvp,Area STSv posterior ,Yes,"11,14,15",,
131,TGd,Area TG dorsal,Yes*,"11,12,13,14",TG,"Ding et al 2009, von Economo and Koskinas 1925, Triarhou 2007"
132,TE1a,Area TE1 anterior,Yes*,"11,14",,"von Economo and Koskinas 1925, Triarhou 2007"
133,TE1p,Area TE1 posterior,Yes*,"5,11,14",,"von Economo and Koskinas 1925, Triarhou 2007"
134,TE2a,Area TE2 anterior,Yes*,14,,"von Economo and Koskinas 1925, Triarhou 2007"
135,TF,Area TF,No,"4,13,14",,"von Economo and Koskinas 1925, Triarhou 2007"
136,TE2p,Area TE2 posterior,Yes*,"4,5,14",,"von Economo and Koskinas 1925, Triarhou 2007"
137,PHT,Area PHT,No,"5,11,14,15",,"von Economo and Koskinas 1925, Triarhou 2007"
138,PH,Area PH,No,"4,5,14",,"von Economo and Koskinas 1925, Triarhou 2007"
139,TPOJ1,Area TemporoParietoOccipital Junction 1,Yes,"11,14,15,17",,
140,TPOJ2,Area TemporoParietoOccipital Junction 2,Yes,"5,14,15,17",,
141,TPOJ3,Area TemporoParietoOccipital Junction 3,Yes,"5,15,17",,
142,DVT,Dorsal Transitional Visual Area,Yes,"2,3,16,18",,
143,PGp,Area PGp,No,"5,15,17","39,PG","Caspers et al 2006, Caspers et al 2008"
144,IP2,Area IntraParietal 2,No,"16,17",,Choi et al 2006
145,IP1,Area IntraParietal 1,No,"16,17",,Choi et al 2006
146,IP0,Area IntraParietal 0,Yes,"3,5,16,17",,
147,PFop,Area PF opercular,No,"6,9,17","40, 72","Caspers et al 2006, Caspers et al 2008, Nieuwenhuys et al 2014"
148,PF,Area PF Complex,No,"9,15,17","40, 88","Caspers et al 2006, Caspers et al 2008, Nieuwenhuys et al 2014"
149,PFm,Area PFm Complex,No,"15,17","40, 89","Caspers et al 2006, Caspers et al 2008, Nieuwenhuys et al 2014"
150,PGi,Area PGi ,No,"15,17","PGa, 39, PG, 90","Caspers et al 2006, Caspers et al 2008, Nieuwenhuys et al 2014"
151,PGs,Area PGs,No,"15,17","PGa, 39, PG, 90","Caspers et al 2006, Caspers et al 2008, Nieuwenhuys et al 2014"
152,V6A,Area V6A,No,"3,18",112,"Pizalis et al 2013, Nieuwenhuys et al 2014"
153,VMV1,VentroMedial Visual Area 1,Yes*,"2,4,13","PHC2, PHC-2","Arcaro et al 2009, Wang et al 2015"
154,VMV3,VentroMedial Visual Area 3,Yes*,"2,4,13",VO2,"Arcaro et al 2009, Wang et al 2015, Wandell and Winawer 2011"
155,PHA2,ParaHippocampal Area 2,Yes,"4,13",,
156,V4t,Area V4t,No,5,LO2,"Abdollahi et al 2014, Kolster et al 2010, Larsson and Heeger 2006"
157,FST,Area FST,No,"5,14,15",,"Abdollahi et al 2014, Kolster et al 2010"
158,V3CD,Area V3CD,Yes,"2,3,5,17","V3A,V3B, hOC4la","Abdollahi et al 2014, Malikovic et al 2015"
159,LO3,Area Lateral Occipital 3,Yes,"5,15,17",hOC4la,
160,VMV2,VentroMedial Visual Area 2,Yes*,"2,4,13","PHC1, PHC-1","Arcaro et al 2009, Wang et al 2015"
161,31pd,Area 31pd,Yes*,18,"31, 31d, 31v","Vogt 2009, Palomero-Gallagher et al 2009"
162,31a,Area 31a,Yes*,18,"31, 31d, 31v","Vogt 2009, Palomero-Gallagher et al 2009"
163,VVC,Ventral Visual Complex,Yes*,"4,13,14","VO1, VO2, PHC1, PHC2, PHC-1, PHC-2, FG1","Arcaro et al 2009, Wang et al 2015, Wandell and Winawer 2011, Caspers et al 2013, Weiner et al 2014"
164,25,Area 25,No,"19,20",,"Vogt 2009, Palomero-Gallagher et al 2015"
165,s32,Area s32,No,19,"32pl, 32","Vogt 2009, Palomero-Gallagher et al 2015, Van Essen et al 2012b, Ongur et al 2003"
166,pOFC,posterior OFC Complex,Yes*,"12,19,20","13a, 14c, Fo2","Van Essen et al 2012b, Ongur et al 2003, Henssen et al 2016"
167,PoI1,Area Posterior Insular 1,Yes*,12,"Id1, Id2, Id3","Kurth et al 2009, Morel et al 2013"
168,Ig,Insular Granular Complex,Yes*,"9,12","Ig1, Ig2","Kurth et al 2009, Morel et al 2013"
169,FOP5,Area Frontal Opercular 5,Yes,"12,21",PrCO,Glasser and Van Essen 2011
170,p10p,Area posterior 10p,Yes*,"20,22","10p, 10, Fp1","Van Essen et al 2012b, Ongur et al 2003, Bludau et al 2014"
171,p47r,Area posterior 47r,Yes*,"20,21,22",47r,"Van Essen et al 2012b, Ongur et al 2003"
172,TGv,Area TG Ventral,Yes*,"13,14",,"Ding et al 2009,  von Economo and Koskinas 1925, Triarhou 2007"
173,MBelt,Medial Belt Complex,Yes*,"10,12","Belt, TB","Moerel et al 2014, von Economo and Koskinas 1925, Triarhou 2007"
174,LBelt,Lateral Belt Complex,Yes*,10,"Belt, TB","Moerel et al 2014, von Economo and Koskinas 1925, Triarhou 2007"
175,A4,Auditory 4 Complex,Yes*,"11,15",TE3,Morosan et al 2005
176,STSva,Area STSv anterior,Yes,"11,14",,
177,TE1m,Area TE1 Middle,Yes*,"11,14",,"von Economo and Koskinas 1925, Triarhou 2007"
178,PI,Para-Insular Area,No,"11,12,14",IBT,"von Economo and Koskinas 1925, Triarhou 2007, Ding et al 2009"
179,a32pr,Area anterior 32 prime ,Yes*,19,32',"Vogt 2009"
180,p24,Area posterior 24,Yes*,19,24,"Vogt 2009"
